name,generation,status,type_number,type_1,type_2,height_m,weight_kg,total_points,hp,attack,defense,sp_attack,sp_defense,speed,catch_rate,base_friendship,base_experience,percentage_male,against_normal,against_fire,against_water,against_electric,against_grass,against_ice,against_fight,against_poison,against_ground,against_flying,against_psychic,against_bug,against_rock,against_ghost,against_dragon,against_dark,against_steel,against_fairy
Rhydon,1,Normal,2,Ground,Rock,1.9,120,485,105,130,120,45,45,40,60,70,170,50,0.5,0.5,4,0,4,2,2,0.25,2,0.5,1,1,0.5,1,1,1,2,1
Chansey,1,Normal,1,Normal,none,1.1,34.6,450,250,5,5,35,105,50,30,140,395,0,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
Tangela,1,Normal,1,Grass,none,1,35,435,65,55,115,100,40,60,45,70,87,50,1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,1
Kangaskhan,1,Normal,1,Normal,none,2.2,80,490,105,95,80,40,80,90,45,70,172,0,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
Mega Kangaskhan,1,Normal,1,Normal,none,2.2,100,590,105,125,100,60,100,100,45,70,207,0,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
Horsea,1,Normal,1,Water,none,0.4,8,295,30,40,70,70,25,60,225,70,59,50,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
Seadra,1,Normal,1,Water,none,1.2,25,440,55,65,95,95,45,85,75,70,154,50,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
Goldeen,1,Normal,1,Water,none,0.6,15,320,45,67,60,35,50,63,225,70,64,50,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
Seaking,1,Normal,1,Water,none,1.3,39,450,80,92,65,65,80,68,60,70,158,50,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
Staryu,1,Normal,1,Water,none,0.8,34.5,340,30,45,55,70,55,85,225,70,68,,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
Starmie,1,Normal,2,Water,Psychic,1.1,80,520,60,75,85,100,85,115,60,70,182,,1,0.5,0.5,2,2,0.5,0.5,1,1,1,0.5,2,1,2,1,2,0.5,1
Mr. Mime,1,Normal,2,Psychic,Fairy,1.3,54.5,460,40,45,65,100,120,90,45,70,161,50,1,1,1,1,1,1,0.25,2,1,1,0.5,1,1,2,0,1,2,1
Galarian Mr. Mime,1,Normal,2,Psychic,Ice,1.4,56.8,460,50,65,65,90,90,100,,,,,1,1,1,1,1,1,0.25,1.5,1,1,0.5,1,1,1.5,0,1,1.5,1
Scyther,1,Normal,2,Bug,Flying,1.5,56,500,70,110,80,55,80,105,45,70,100,50,1,2,1,2,0.25,2,0.25,1,0,2,1,0.5,4,1,1,1,1,1
Jynx,1,Normal,2,Ice,Psychic,1.4,40.6,455,65,50,35,115,95,95,45,70,159,0,1,2,1,1,1,0.5,1,1,1,1,0.5,2,2,2,1,2,2,1
Electabuzz,1,Normal,1,Electric,none,1.1,30,490,65,83,57,95,85,105,45,70,172,75,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1
Magmar,1,Normal,1,Fire,none,1.3,44.5,495,65,95,57,100,85,93,45,70,173,75,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5
Pinsir,1,Normal,1,Bug,none,1.5,55,500,65,125,100,55,70,85,45,70,175,50,1,2,1,1,0.5,1,0.5,1,0.5,2,1,1,2,1,1,1,1,1
Mega Pinsir,1,Normal,2,Bug,Flying,1.7,59,600,65,155,120,65,90,105,45,70,210,50,1,2,1,2,0.25,2,0.25,1,0,2,1,0.5,4,1,1,1,1,1
Tauros,1,Normal,1,Normal,none,1.4,88.4,490,75,100,95,40,70,110,45,70,172,100,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
Magikarp,1,Normal,1,Water,none,0.9,10,200,20,10,55,15,20,80,255,70,40,50,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
Gyarados,1,Normal,2,Water,Flying,6.5,235,540,95,125,79,60,100,81,45,70,189,50,1,0.5,0.5,4,1,1,0.5,1,0,1,1,0.5,2,1,1,1,0.5,1
Mega Gyarados,1,Normal,2,Water,Dark,6.5,305,640,95,155,109,70,130,81,45,70,224,50,1,0.5,0.5,2,2,0.5,2,1,1,1,0,2,1,0.5,1,0.5,0.5,2
Lapras,1,Normal,2,Water,Ice,2.5,220,535,130,85,80,85,95,60,45,70,187,50,1,1,0,2,2,0.25,2,1,1,1,1,1,2,1,1,1,1,1
Ditto,1,Normal,1,Normal,none,0.3,4,288,48,48,48,48,48,48,35,70,101,,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
Eevee,1,Normal,1,Normal,none,0.3,6.5,325,55,55,50,45,65,55,45,70,65,87.5,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
Partner Eevee,1,Normal,1,Normal,none,0.3,6.5,435,65,75,70,65,85,75,45,70,65,87.5,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
Vaporeon,1,Normal,1,Water,none,1,29,525,130,65,60,110,95,65,45,70,184,87.5,1,0.5,0,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
Jolteon,1,Normal,1,Electric,none,0.8,24.5,525,65,65,60,110,95,130,45,70,184,87.5,1,1,1,0,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1
Flareon,1,Normal,1,Fire,none,0.9,25,525,65,130,60,95,110,65,45,70,184,87.5,1,0,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5
Porygon,1,Normal,1,Normal,none,0.8,36.5,395,65,60,70,85,75,40,45,70,79,,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
Omanyte,1,Normal,2,Rock,Water,0.4,7.5,355,35,40,100,90,55,35,45,70,71,87.5,0.5,0.25,1,2,4,0.5,2,0.5,2,0.5,1,1,1,1,1,1,1,1
Omastar,1,Normal,2,Rock,Water,1,35,495,70,60,125,115,70,55,45,70,173,87.5,0.5,0.25,1,2,4,0.5,2,0.5,2,0.5,1,1,1,1,1,1,1,1
Kabuto,1,Normal,2,Rock,Water,0.5,11.5,355,30,80,90,55,45,55,45,70,71,87.5,0.5,0.25,1,2,4,0.5,2,0.5,2,0.5,1,1,1,1,1,1,1,1
Kabutops,1,Normal,2,Rock,Water,1.3,40.5,495,60,115,105,65,70,80,45,70,173,87.5,0.5,0.25,1,2,4,0.5,2,0.5,2,0.5,1,1,1,1,1,1,1,1
Aerodactyl,1,Normal,2,Rock,Flying,1.8,59,515,80,105,65,60,75,130,45,70,180,87.5,0.5,0.5,2,2,1,2,1,0.5,0,0.5,1,0.5,2,1,1,1,2,1
Mega Aerodactyl,1,Normal,2,Rock,Flying,2.1,79,615,80,135,85,70,95,150,45,70,215,87.5,0.5,0.5,2,2,1,2,1,0.5,0,0.5,1,0.5,2,1,1,1,2,1
Snorlax,1,Normal,1,Normal,none,2.1,460,540,160,110,65,65,110,30,25,70,189,87.5,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
Articuno,1,Sub Legendary,2,Ice,Flying,1.7,55.4,580,90,85,100,95,125,85,3,35,261,,1,2,1,2,0.5,1,1,1,0,1,1,0.5,4,1,1,1,2,1
Zapdos,1,Sub Legendary,2,Electric,Flying,1.6,52.6,580,90,90,85,125,90,100,3,35,261,,1,1,1,1,0.5,2,0.5,1,0,0.5,1,0.5,2,1,1,1,0.5,1
Moltres,1,Sub Legendary,2,Fire,Flying,2,60,580,90,100,90,125,85,90,3,35,261,,1,0.5,2,2,0.25,1,0.5,1,0,1,1,0.25,4,1,1,1,0.5,0.5
Dratini,1,Normal,1,Dragon,none,1.8,3.3,300,41,64,45,50,50,50,45,35,60,50,1,0.5,0.5,0.5,0.5,2,1,1,1,1,1,1,1,1,2,1,1,2
Dragonair,1,Normal,1,Dragon,none,4,16.5,420,61,84,65,70,70,70,45,35,147,50,1,0.5,0.5,0.5,0.5,2,1,1,1,1,1,1,1,1,2,1,1,2
Dragonite,1,Normal,2,Dragon,Flying,2.2,210,600,91,134,95,100,100,80,45,35,270,50,1,0.5,0.5,1,0.25,4,0.5,1,0,1,1,0.5,2,1,2,1,1,2
Mewtwo,1,Legendary,1,Psychic,none,2,122,680,106,110,90,154,90,130,3,0,306,,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,1
Mega Mewtwo X,1,Legendary,2,Psychic,Fighting,2.3,127,780,106,190,100,154,100,130,3,0,351,,1,1,1,1,1,1,0.5,1,1,2,1,1,0.5,2,1,1,1,2
Mega Mewtwo Y,1,Legendary,1,Psychic,none,1.5,33,780,106,150,70,194,120,140,3,0,351,,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,1
Mew,1,Mythical,1,Psychic,none,0.4,4,600,100,100,100,100,100,100,45,100,270,,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,1
Chikorita,2,Normal,1,Grass,none,0.9,6.4,318,45,49,65,49,65,45,45,70,64,87.5,1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,1
Bayleef,2,Normal,1,Grass,none,1.2,15.8,405,60,62,80,63,80,60,45,70,142,87.5,1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,1
Meganium,2,Normal,1,Grass,none,1.8,100.5,525,80,82,100,83,100,80,45,70,236,87.5,1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,1
Cyndaquil,2,Normal,1,Fire,none,0.5,7.9,309,39,52,43,60,50,65,45,70,62,87.5,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5
Quilava,2,Normal,1,Fire,none,0.9,19,405,58,64,58,80,65,80,45,70,142,87.5,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5
Typhlosion,2,Normal,1,Fire,none,1.7,79.5,534,78,84,78,109,85,100,45,70,240,87.5,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5
Totodile,2,Normal,1,Water,none,0.6,9.5,314,50,65,64,44,48,43,45,70,63,87.5,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
Croconaw,2,Normal,1,Water,none,1.1,25,405,65,80,80,59,63,58,45,70,142,87.5,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
Feraligatr,2,Normal,1,Water,none,2.3,88.8,530,85,105,100,79,83,78,45,70,239,87.5,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
Sentret,2,Normal,1,Normal,none,0.8,6,215,35,46,34,35,45,20,255,70,43,50,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
Furret,2,Normal,1,Normal,none,1.8,32.5,415,85,76,64,45,55,90,90,70,145,50,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
Hoothoot,2,Normal,2,Normal,Flying,0.7,21.2,262,60,30,30,36,56,50,255,70,52,50,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1
Noctowl,2,Normal,2,Normal,Flying,1.6,40.8,452,100,50,50,86,96,70,90,70,158,50,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1
Ledyba,2,Normal,2,Bug,Flying,1,10.8,265,40,20,30,40,80,55,255,70,53,50,1,2,1,2,0.25,2,0.25,1,0,2,1,0.5,4,1,1,1,1,1
Ledian,2,Normal,2,Bug,Flying,1.4,35.6,390,55,35,50,55,110,85,90,70,137,50,1,2,1,2,0.25,2,0.25,1,0,2,1,0.5,4,1,1,1,1,1
Spinarak,2,Normal,2,Bug,Poison,0.5,8.5,250,40,60,40,40,40,30,255,70,50,50,1,2,1,1,0.25,1,0.25,0.5,1,2,2,0.5,2,1,1,1,1,0.5
Ariados,2,Normal,2,Bug,Poison,1.1,33.5,400,70,90,70,60,70,40,90,70,140,50,1,2,1,1,0.25,1,0.25,0.5,1,2,2,0.5,2,1,1,1,1,0.5
Crobat,2,Normal,2,Poison,Flying,1.8,75,535,85,90,80,70,80,130,90,70,241,50,1,1,1,2,0.25,2,0.25,0.5,0,1,2,0.25,2,1,1,1,1,0.5
Chinchou,2,Normal,2,Water,Electric,0.5,12,330,75,38,38,56,56,67,190,70,66,50,1,0.5,0.5,0,2,0.5,1,1,2,0.5,1,1,1,1,1,1,0.25,1
Lanturn,2,Normal,2,Water,Electric,1.2,22.5,460,125,58,58,76,76,67,75,70,161,50,1,0.5,0.5,0,2,0.5,1,1,2,0.5,1,1,1,1,1,1,0.25,1
Pichu,2,Normal,1,Electric,none,0.3,2,205,20,40,15,35,35,60,190,70,41,50,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1
Cleffa,2,Normal,1,Fairy,none,0.3,3,218,50,25,28,45,55,15,150,140,44,25,1,1,1,1,1,1,0.5,2,1,1,1,0.5,1,1,0,0.5,2,1
Igglybuff,2,Normal,2,Normal,Fairy,0.3,1,210,90,30,15,40,20,15,170,70,42,25,1,1,1,1,1,1,1,2,1,1,1,0.5,1,0,0,0.5,2,1
Togepi,2,Normal,1,Fairy,none,0.3,1.5,245,35,20,65,40,65,20,190,70,49,87.5,1,1,1,1,1,1,0.5,2,1,1,1,0.5,1,1,0,0.5,2,1
Togetic,2,Normal,2,Fairy,Flying,0.6,3.2,405,55,40,85,80,105,40,75,70,142,87.5,1,1,1,2,0.5,2,0.25,2,0,1,1,0.25,2,1,0,0.5,2,1
Natu,2,Normal,2,Psychic,Flying,0.2,2,320,40,50,45,70,45,70,190,70,64,50,1,1,1,2,0.5,2,0.25,1,0,1,0.5,1,2,2,1,2,1,1
Xatu,2,Normal,2,Psychic,Flying,1.5,15,470,65,75,70,95,70,95,75,70,165,50,1,1,1,2,0.5,2,0.25,1,0,1,0.5,1,2,2,1,2,1,1
Mareep,2,Normal,1,Electric,none,0.6,7.8,280,55,40,40,65,45,35,235,70,56,50,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1
Flaaffy,2,Normal,1,Electric,none,0.8,13.3,365,70,55,55,80,60,45,120,70,128,50,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1
Ampharos,2,Normal,1,Electric,none,1.4,61.5,510,90,75,85,115,90,55,45,70,230,50,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1
Mega Ampharos,2,Normal,2,Electric,Dragon,1.4,61.5,610,90,95,105,165,110,45,45,70,275,50,1,0.5,0.5,0.25,0.5,2,1,1,2,0.5,1,1,1,1,2,1,0.5,2
Bellossom,2,Normal,1,Grass,none,0.4,5.8,490,75,80,95,90,100,50,45,70,221,50,1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,1
Marill,2,Normal,2,Water,Fairy,0.4,8.5,250,70,20,50,20,50,40,190,70,88,50,1,0.25,0.5,2,2,0.25,0.5,2,1,1,1,0.5,1,1,0,0.5,1,1
Azumarill,2,Normal,2,Water,Fairy,0.8,28.5,420,100,50,80,60,80,50,75,70,189,50,1,0.25,0.5,2,2,0.25,0.5,2,1,1,1,0.5,1,1,0,0.5,1,1
Sudowoodo,2,Normal,1,Rock,none,1.2,38,410,70,100,115,30,65,30,65,70,144,50,0.5,0.5,2,1,2,1,2,0.5,2,0.5,1,1,1,1,1,1,2,1
Politoed,2,Normal,1,Water,none,1.1,33.9,500,90,75,75,90,100,70,45,70,225,50,1,0.5,0,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
Hoppip,2,Normal,2,Grass,Flying,0.4,0.5,250,35,35,40,35,55,50,255,70,50,50,1,2,0.5,1,0.25,4,0.5,2,0,2,1,1,2,1,1,1,1,1
Skiploom,2,Normal,2,Grass,Flying,0.6,1,340,55,45,50,45,65,80,120,70,119,50,1,2,0.5,1,0.25,4,0.5,2,0,2,1,1,2,1,1,1,1,1
Jumpluff,2,Normal,2,Grass,Flying,0.8,3,460,75,55,70,55,95,110,45,70,207,50,1,2,0.5,1,0.25,4,0.5,2,0,2,1,1,2,1,1,1,1,1
Aipom,2,Normal,1,Normal,none,0.8,11.5,360,55,70,55,40,55,85,45,70,72,50,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
Sunkern,2,Normal,1,Grass,none,0.3,1.8,180,30,30,30,30,30,30,235,70,36,50,1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,1
Sunflora,2,Normal,1,Grass,none,0.8,8.5,425,75,75,55,105,85,30,120,70,149,50,1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,1
Yanma,2,Normal,2,Bug,Flying,1.2,38,390,65,65,45,75,45,95,75,70,78,50,1,2,1,2,0.25,2,0.25,1,0,2,1,0.5,4,1,1,1,1,1
Wooper,2,Normal,2,Water,Ground,0.4,8.5,210,55,45,45,25,25,15,255,70,42,50,1,0.5,1,0,4,1,1,0.5,1,1,1,1,0.5,1,1,1,0.5,1
Quagsire,2,Normal,2,Water,Ground,1.4,75,430,95,85,85,65,65,35,90,70,151,50,1,0.5,1,0,4,1,1,0.5,1,1,1,1,0.5,1,1,1,0.5,1
Espeon,2,Normal,1,Psychic,none,0.9,26.5,525,65,65,60,130,95,110,45,70,184,87.5,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,1
Umbreon,2,Normal,1,Dark,none,1,27,525,95,65,110,60,130,65,45,35,184,87.5,1,1,1,1,1,1,2,1,1,1,0,2,1,0.5,1,0.5,1,2
Murkrow,2,Normal,2,Dark,Flying,0.5,2.1,405,60,85,42,85,42,91,30,35,81,50,1,1,1,2,0.5,2,1,1,0,1,0,1,2,0.5,1,0.5,1,2
Slowking,2,Normal,2,Water,Psychic,2,79.5,490,95,75,80,100,110,30,70,70,172,50,1,0.5,0.5,2,2,0.5,0.5,1,1,1,0.5,2,1,2,1,2,0.5,1
Misdreavus,2,Normal,1,Ghost,none,0.7,1,435,60,60,60,85,85,85,45,35,87,50,0,1,1,1,1,1,0,0.5,0,1,1,0.5,1,2,1,2,1,1
Unown,2,Normal,1,Psychic,none,0.5,5,336,48,72,48,72,48,48,225,70,118,,1,1,1,1,1,1,0.5,1,0,1,0.5,2,1,2,1,2,1,1
Wobbuffet,2,Normal,1,Psychic,none,1.3,28.5,405,190,33,58,33,58,33,45,70,142,50,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,1
Girafarig,2,Normal,2,Normal,Psychic,1.5,41.5,455,70,80,65,90,65,85,60,70,159,50,1,1,1,1,1,1,1,1,1,1,0.5,2,1,0,1,2,1,1
Pineco,2,Normal,1,Bug,none,0.6,7.2,290,50,65,90,35,35,15,190,70,58,50,1,2,1,1,0.5,1,0.5,1,0.5,2,1,1,2,1,1,1,1,1
Forretress,2,Normal,2,Bug,Steel,1.2,125.8,465,75,90,140,60,60,40,75,70,163,50,0.5,4,1,1,0.25,0.5,1,0,1,1,0.5,0.5,1,1,0.5,1,0.5,0.5
Dunsparce,2,Normal,1,Normal,none,1.5,14,415,100,70,70,65,65,45,190,70,145,50,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
Gligar,2,Normal,2,Ground,Flying,1.1,64.8,430,65,75,105,35,65,85,60,70,86,50,1,1,2,0,1,4,0.5,0.5,0,1,1,0.5,1,1,1,1,1,1
Steelix,2,Normal,2,Steel,Ground,9.2,400,510,75,85,200,55,65,30,25,70,179,50,0.5,2,2,0,1,1,2,0,2,0.5,0.5,0.5,0.25,1,0.5,1,0.5,0.5
Mega Steelix,2,Normal,2,Steel,Ground,10.5,740,610,75,125,230,55,95,30,25,70,214,50,0.5,2,2,0,1,1,2,0,2,0.5,0.5,0.5,0.25,1,0.5,1,0.5,0.5
Snubbull,2,Normal,1,Fairy,none,0.6,7.8,300,60,80,50,40,40,30,190,70,60,25,1,1,1,1,1,1,0.5,2,1,1,1,0.5,1,1,0,0.5,2,1
Granbull,2,Normal,1,Fairy,none,1.4,48.7,450,90,120,75,60,60,45,75,70,158,25,1,1,1,1,1,1,0.5,2,1,1,1,0.5,1,1,0,0.5,2,1
Qwilfish,2,Normal,2,Water,Poison,0.5,3.9,440,65,95,85,55,55,85,45,70,88,50,1,0.5,0.5,2,1,0.5,0.5,0.5,2,1,2,0.5,1,1,1,1,0.5,0.5
Scizor,2,Normal,2,Bug,Steel,1.8,118,500,70,130,100,55,80,65,25,70,175,50,0.5,4,1,1,0.25,0.5,1,0,1,1,0.5,0.5,1,1,0.5,1,0.5,0.5
Mega Scizor,2,Normal,2,Bug,Steel,2,125,600,70,150,140,65,100,75,25,70,210,50,0.5,4,1,1,0.25,0.5,1,0,1,1,0.5,0.5,1,1,0.5,1,0.5,0.5
Shuckle,2,Normal,2,Bug,Rock,0.6,20.5,505,20,10,230,10,230,5,190,70,177,50,0.5,1,2,1,1,1,1,0.5,1,1,1,1,2,1,1,1,2,1
Heracross,2,Normal,2,Bug,Fighting,1.5,54,500,80,125,75,40,95,85,45,70,175,50,1,2,1,1,0.5,1,0.5,1,0.5,4,2,0.5,1,1,1,0.5,1,2
Mega Heracross,2,Normal,2,Bug,Fighting,1.7,62.5,600,80,185,115,40,105,75,45,70,210,50,1,2,1,1,0.5,1,0.5,1,0.5,4,2,0.5,1,1,1,0.5,1,2
Sneasel,2,Normal,2,Dark,Ice,0.9,28,430,55,95,55,35,75,115,60,35,86,50,1,2,1,1,1,0.5,4,1,1,1,0,2,2,0.5,1,0.5,2,2
Teddiursa,2,Normal,1,Normal,none,0.6,8.8,330,60,80,50,50,50,40,120,70,66,50,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
Ursaring,2,Normal,1,Normal,none,1.8,125.8,500,90,130,75,75,75,55,60,70,175,50,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
Slugma,2,Normal,1,Fire,none,0.7,35,250,40,40,40,70,40,20,190,70,50,50,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5
Magcargo,2,Normal,2,Fire,Rock,0.8,55,430,60,50,120,90,80,30,75,70,151,50,0.5,0.25,4,1,1,0.5,2,0.5,4,0.5,1,0.5,2,1,1,1,1,0.5
Swinub,2,Normal,2,Ice,Ground,0.4,6.5,250,50,50,40,30,30,50,225,70,50,50,1,2,2,0,2,1,2,0.5,1,1,1,1,1,1,1,1,2,1
Piloswine,2,Normal,2,Ice,Ground,1.1,55.8,450,100,100,80,60,60,50,75,70,158,50,1,2,2,0,2,1,2,0.5,1,1,1,1,1,1,1,1,2,1
Corsola,2,Normal,2,Water,Rock,0.6,5,410,65,55,95,65,95,35,60,70,144,25,0.5,0.25,1,2,4,0.5,2,0.5,2,0.5,1,1,1,1,1,1,1,1
Galarian Corsola,2,Normal,1,Ghost,none,0.6,0.5,410,60,55,100,65,100,30,,,,,0,1,1,1,1,1,0,0.5,1,1,1,0.5,1,2,1,2,1,1
Remoraid,2,Normal,1,Water,none,0.6,12,300,35,65,35,65,35,65,190,70,60,50,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
Octillery,2,Normal,1,Water,none,0.9,28.5,480,75,105,75,105,75,45,75,70,168,50,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
Delibird,2,Normal,2,Ice,Flying,0.9,16,330,45,55,45,65,45,75,45,70,116,50,1,2,1,2,0.5,1,1,1,0,1,1,0.5,4,1,1,1,2,1
Mantine,2,Normal,2,Water,Flying,2.1,220,485,85,40,70,80,140,70,25,70,170,50,1,0.5,0.5,4,1,1,0.5,1,0,1,1,0.5,2,1,1,1,0.5,1
Skarmory,2,Normal,2,Steel,Flying,1.7,50.5,465,65,80,140,40,70,70,25,70,163,50,0.5,2,1,2,0.25,1,1,0,0,0.5,0.5,0.25,1,1,0.5,1,0.5,0.5
Houndour,2,Normal,2,Dark,Fire,0.6,10.8,330,45,60,30,80,50,65,120,35,66,50,1,0.5,2,1,0.5,0.5,2,1,2,1,0,1,2,0.5,1,0.5,0.5,1
Houndoom,2,Normal,2,Dark,Fire,1.4,35,500,75,90,50,110,80,95,45,35,175,50,1,0.5,2,1,0.5,0.5,2,1,2,1,0,1,2,0.5,1,0.5,0.5,1
Mega Houndoom,2,Normal,2,Dark,Fire,1.9,49.5,600,75,90,90,140,90,115,45,35,210,50,1,0,2,1,0.5,0.5,2,1,2,1,0,1,2,0.5,1,0.5,0.5,1
Kingdra,2,Normal,2,Water,Dragon,1.8,152,540,75,95,95,95,95,85,45,70,243,50,1,0.25,0.25,1,1,1,1,1,1,1,1,1,1,1,2,1,0.5,2
Phanpy,2,Normal,1,Ground,none,0.5,33.5,330,90,60,60,40,40,40,120,70,66,50,1,1,2,0,2,2,1,0.5,1,1,1,1,0.5,1,1,1,1,1
Donphan,2,Normal,1,Ground,none,1.1,120,500,90,120,120,60,60,50,60,70,175,50,1,1,2,0,2,2,1,0.5,1,1,1,1,0.5,1,1,1,1,1
Porygon2,2,Normal,1,Normal,none,0.6,32.5,515,85,80,90,105,95,60,45,70,180,,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
Stantler,2,Normal,1,Normal,none,1.4,71.2,465,73,95,62,85,65,85,45,70,163,50,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
Smeargle,2,Normal,1,Normal,none,1.2,58,250,55,20,35,20,45,75,45,70,88,50,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
Tyrogue,2,Normal,1,Fighting,none,0.7,21,210,35,35,35,35,35,35,75,70,42,100,1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,2
Hitmontop,2,Normal,1,Fighting,none,1.4,48,455,50,95,95,35,110,70,45,70,159,100,1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,2
Smoochum,2,Normal,2,Ice,Psychic,0.4,6,305,45,30,15,85,65,65,45,70,61,0,1,2,1,1,1,0.5,1,1,1,1,0.5,2,2,2,1,2,2,1
Elekid,2,Normal,1,Electric,none,0.6,23.5,360,45,63,37,65,55,95,45,70,72,75,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1
Magby,2,Normal,1,Fire,none,0.7,21.4,365,45,75,37,70,55,83,45,70,73,75,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5
Miltank,2,Normal,1,Normal,none,1.2,75.5,490,95,80,105,40,70,100,45,70,172,0,1,0.5,1,1,1,0.5,2,1,1,1,1,1,1,0,1,1,1,1
Blissey,2,Normal,1,Normal,none,1.5,46.8,540,255,10,10,75,135,55,30,140,608,0,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
Raikou,2,Sub Legendary,1,Electric,none,1.9,178,580,90,85,75,115,100,115,3,35,261,,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1
Entei,2,Sub Legendary,1,Fire,none,2.1,198,580,115,115,85,90,75,100,3,35,261,,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5
Suicune,2,Sub Legendary,1,Water,none,2,187,580,100,75,115,90,115,85,3,35,261,,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
